카드명,카드회사,혜택1,혜택2,혜택3
삼성카드 taptap O,삼성카드,스타벅스 50%,대중교통 10%,"CGV, 롯데시네마 5,000원"
신한카드 Mr.Life,신한카드,공과금 10%,"마트,편의점 10%",식음료 10%
LOCA 365 카드,롯데카드,"아파트관리비, 공과금 10%","교통, 통신, 배달앱 10%","스트리밍 1,500원"
현대카드 M,현대카드,국내외 가맹점 1.5%,온라인 쇼핑몰・일반음식점 5%,해외 가맹점 5%
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"1,000원당 1마일",국내/해외 택1 옵션형 1마일,인천공항 라운지
KB국민 My WE:SH 카드,KB국민카드,KB Pay 10%,음식점 10%,서비스팩 3개 중 1개
카드의정석 EVERY MILE SKYPASS,우리카드,SKYPASS 최대 2마일리지,해외이용수수료 0.3%,국내 공항라운지 동반 1인 동시 이용
LOCA LIKIT 1.2,롯데카드,모든가맹점 1.2%,온라인 1.5%,
신한카드 처음(ANNIVERSE),신한카드,음식·생활·패션 5%,통신·구독·멤버십 최대 20%,소비관리 보너스 매월 최대 1만P
신한카드 Deep Oil,신한카드,4개정유사 10%,차량서비스 10%,편의점/커피/택시 5%
삼성 iD SIMPLE 카드,삼성카드,국내 외 가맹점 0.7%·1%,온라인쇼핑몰 멤버십 50%,"영화 3,000원"
네이버 현대카드,현대카드,네이버플러스멤버십 무료,네이버플러스멤버십 회원 5%,그외가맹점 1%
JADE Classic,하나카드,바우처 최대 10만원,전세계 공항라운지 연 3회 무료,국내외 가맹점 1%
DA카드의정석Ⅱ,우리카드,모든가맹점 0.8%,생활업종 1.3%,국내 공항라운지 무료
BC 바로 클리어 플러스,BC 바로카드,점심식사/배달앱 7%,온라인쇼핑 10%,휴대폰요금/스트리밍 10%
올바른 FLEX 카드,NH농협카드,커피 50%,스트리밍 20%,영화 30%
현대카드ZERO Edition3(할인형),현대카드,국내외 가맹점 0.8%,,
현대카드 Summit,현대카드,국내외 가맹점 1.5%,공항라운지 무료,병원・약국 5%
Easy all 티타늄카드,KB국민카드,20개 영역 중 선택형,택시 10%,온라인쇼핑 5%
